Review ID,Date Posted,Star Rating,Failure Category,Specific Complaint,Verified Purchase,Helpful Votes,Is Wobble or Motor (1 or 0),Is High Severity (1 or 0),Is Verified (1 or 0),Severity
REV-109,2024-11-01,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,0,1,1,1,High
REV-022,2024-11-02,2,Assembly instructions unclear,"Manual is translated poorly, key steps are missing",Yes,0,0,0,1,Medium
REV-089,2024-11-16,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0,1,1,1,High
REV-042,2024-11-19,2,Damaged on arrival,"One leg arrived bent, had to return immediately",Yes,2,0,0,1,Medium
REV-064,2024-11-19,2,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,6,1,1,1,High
REV-039,2024-11-21,1,Motor failure or stopped working,"One side of motor no longer moves, desk is now uneven",No,0,1,1,0,High
REV-116,2024-11-29,2,Customer service issue,Was told to just deal with the wobble issue,Yes,0,0,0,1,Low
REV-044,2024-11-30,2,Different from product photos,Desktop thickness is noticeably thinner than photos suggest,Yes,0,0,0,1,Low
REV-086,2024-12-01,3,Poor material quality,Plastic components feel very cheap and flimsy,Yes,0,0,0,1,Low
REV-096,2024-12-02,1,Missing or wrong parts,"Received wrong size Allen key, had to buy my own",No,8,0,0,0,Medium
REV-024,2024-12-03,2,Customer service issue,Replacement part took 6 weeks to arrive,Yes,5,0,0,1,Low
REV-051,2024-12-10,1,Motor failure or stopped working,Control panel stopped responding after 2 months,No,8,1,1,0,High
REV-113,2024-12-13,3,Different from product photos,Desktop thickness is noticeably thinner than photos suggest,No,18,0,0,0,Low
REV-014,2024-12-19,2,Motor failure or stopped working,Motor makes grinding noise and desk won't go up,Yes,12,1,1,1,High
REV-043,2024-12-26,2,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,0,1,1,1,High
REV-056,2025-01-12,1,Missing or wrong parts,One of the motor brackets was missing,Yes,75,0,0,1,Medium
REV-049,2025-01-19,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,4,1,1,1,High
REV-054,2025-01-20,1,Different from product photos,Finish looks cheap compared to photos,Yes,0,0,0,1,Low
REV-118,2025-01-20,1,Wobbles or unstable at height,"Unstable at higher settings, whole desk sways",Yes,0,1,1,1,High
REV-063,2025-01-27,3,Missing or wrong parts,One leg bracket was missing from the box,Yes,0,0,0,1,Medium
REV-015,2025-02-03,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",Yes,0,1,1,1,High
REV-062,2025-02-17,2,Poor material quality,Surface material peeling at edges after light use,Yes,3,0,0,1,Low
REV-058,2025-02-28,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,No,2,1,1,0,High
REV-013,2025-03-01,2,Different from product photos,Cable management holes are in different positions than shown,Yes,5,0,0,1,Low
REV-040,2025-03-07,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,0,1,1,1,High
REV-034,2025-03-09,3,Different from product photos,Desktop thickness is noticeably thinner than photos suggest,Yes,0,0,0,1,Low
REV-010,2025-03-10,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",No,2,1,1,0,High
REV-084,2025-03-13,1,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0,1,1,1,High
REV-088,2025-03-13,3,Customer service issue,Replacement part took 6 weeks to arrive,No,0,0,0,0,Low
REV-026,2025-03-14,3,Poor material quality,Surface material peeling at edges after light use,Yes,0,0,0,1,Low
REV-053,2025-03-26,2,Missing or wrong parts,Grommets were not included despite being shown in photos,Yes,0,0,0,1,Medium
REV-093,2025-04-03,2,Missing or wrong parts,One leg bracket was missing from the box,Yes,0,0,0,1,Medium
REV-011,2025-04-04,1,Assembly instructions unclear,Instructions do not match the actual parts included,Yes,32,0,0,1,Medium
REV-055,2025-04-07,1,Damaged on arrival,Desktop surface had a large scratch across the middle,Yes,0,0,0,1,Medium
REV-098,2025-04-09,2,Assembly instructions unclear,Instructions do not match the actual parts included,Yes,4,0,0,1,Medium
REV-067,2025-04-12,1,Damaged on arrival,Desktop surface had a large scratch across the middle,Yes,0,0,0,1,Medium
REV-019,2025-04-13,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0,1,1,1,High
REV-038,2025-04-15,3,Different from product photos,Desktop thickness is noticeably thinner than photos suggest,Yes,3,0,0,1,Low
REV-120,2025-04-21,2,Different from product photos,Colour is much darker than shown in listing photos,Yes,4,0,0,1,Low
REV-007,2025-05-01,2,Customer service issue,Was told to just deal with the wobble issue,Yes,1,0,0,1,Low
REV-099,2025-05-01,1,Motor failure or stopped working,"One side of motor no longer moves, desk is now uneven",Yes,0,1,1,1,High
REV-069,2025-05-08,1,Motor failure or stopped working,"One side of motor no longer moves, desk is now uneven",Yes,0,1,1,1,High
REV-072,2025-05-19,2,Different from product photos,Colour is much darker than shown in listing photos,Yes,0,0,0,1,Low
REV-108,2025-05-20,1,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",No,55,1,1,0,High
REV-006,2025-05-22,2,Assembly instructions unclear,"Instructions are a single poorly printed sheet, impossible to follow",Yes,2,0,0,1,Medium
REV-033,2025-05-22,1,Damaged on arrival,"Box was clearly dropped, corner of desk was dented",Yes,5,0,0,1,Medium
REV-111,2025-05-31,1,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,13,1,1,1,High
REV-047,2025-06-02,2,Missing or wrong parts,One leg bracket was missing from the box,Yes,2,0,0,1,Medium
REV-076,2025-06-02,2,Damaged on arrival,Packaging was destroyed and desk surface was damaged,Yes,2,0,0,1,Medium
REV-101,2025-06-09,1,Missing or wrong parts,One leg bracket was missing from the box,No,0,0,0,0,Medium
REV-003,2025-06-10,2,Damaged on arrival,"One leg arrived bent, had to return immediately",No,2,0,0,0,Medium
REV-074,2025-06-12,1,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,3,1,1,1,High
REV-075,2025-06-12,1,Motor failure or stopped working,Motor stopped working after 3 weeks of use,Yes,0,1,1,1,High
REV-090,2025-06-14,2,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,19,1,1,1,High
REV-016,2025-06-20,1,Missing or wrong parts,Cable management tray had no screws included,No,9,0,0,0,Medium
REV-032,2025-06-24,2,Damaged on arrival,Desktop surface had a large scratch across the middle,Yes,0,0,0,1,Medium
REV-021,2025-06-25,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,1,1,1,1,High
REV-035,2025-06-26,2,Assembly instructions unclear,Spent 4 hours assembling because instructions made no sense,Yes,20,0,0,1,Medium
REV-050,2025-07-06,3,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,2,1,1,1,High
REV-102,2025-07-09,2,Missing or wrong parts,"Received wrong size Allen key, had to buy my own",Yes,0,0,0,1,Medium
REV-048,2025-07-13,2,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,5,1,1,1,High
REV-017,2025-07-14,1,Motor failure or stopped working,Motor makes grinding noise and desk won't go up,No,0,1,1,0,High
REV-092,2025-07-14,3,Assembly instructions unclear,"Diagrams are too small to see clearly, very confusing",Yes,3,0,0,1,Medium
REV-052,2025-07-20,2,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,0,1,1,1,High
REV-060,2025-07-27,1,Wobbles or unstable at height,"Unstable at higher settings, whole desk sways",Yes,69,1,1,1,High
REV-082,2025-07-27,2,Missing or wrong parts,One leg bracket was missing from the box,Yes,0,0,0,1,Medium
REV-005,2025-08-03,2,Assembly instructions unclear,Instructions do not match the actual parts included,Yes,5,0,0,1,Medium
REV-059,2025-08-05,3,Different from product photos,Size is smaller than photos made it appear,Yes,4,0,0,1,Low
REV-065,2025-08-21,2,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,No,7,1,1,0,High
REV-083,2025-08-24,2,Broke within first month,Leg snapped at the joint after one month of normal use,No,77,0,1,0,High
REV-068,2025-08-25,3,Assembly instructions unclear,"No step numbers on instructions, had to guess the order",Yes,0,0,0,1,Medium
REV-018,2025-08-28,3,Poor material quality,Frame paint started chipping after one month,Yes,0,0,0,1,Low
REV-025,2025-08-30,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",Yes,0,1,1,1,High
REV-097,2025-09-03,2,Wobbles or unstable at height,"Unstable at higher settings, whole desk sways",Yes,0,1,1,1,High
REV-073,2025-09-14,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,22,1,1,1,High
REV-030,2025-09-23,1,Motor failure or stopped working,"One side of motor no longer moves, desk is now uneven",Yes,0,1,1,1,High
REV-119,2025-09-25,1,Customer service issue,Contacted support 3 times with no response,Yes,5,0,0,1,Low
REV-079,2025-10-03,1,Missing or wrong parts,Received a right leg instead of a left leg,Yes,6,0,0,1,Medium
REV-041,2025-10-09,2,Missing or wrong parts,One leg bracket was missing from the box,Yes,0,0,0,1,Medium
REV-004,2025-10-13,3,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,1,1,1,1,High
REV-117,2025-10-14,2,Missing or wrong parts,Cable management tray had no screws included,Yes,5,0,0,1,Medium
REV-114,2025-10-15,2,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,3,1,1,1,High
REV-046,2025-10-16,1,Motor failure or stopped working,Motor makes grinding noise and desk won't go up,Yes,2,1,1,1,High
REV-110,2025-10-21,1,Missing or wrong parts,One leg bracket was missing from the box,Yes,35,0,0,1,Medium
REV-112,2025-10-22,2,Poor material quality,Frame paint started chipping after one month,Yes,4,0,0,1,Low
REV-020,2025-10-30,1,Missing or wrong parts,"Received wrong size Allen key, had to buy my own",Yes,3,0,0,1,Medium
REV-070,2025-10-30,2,Assembly instructions unclear,"Instructions are a single poorly printed sheet, impossible to follow",Yes,0,0,0,1,Medium
REV-057,2025-11-14,2,Motor failure or stopped working,Height memory buttons stopped working after first month,Yes,0,1,1,1,High
REV-105,2025-11-19,3,Assembly instructions unclear,"No step numbers on instructions, had to guess the order",No,4,0,0,0,Medium
REV-037,2025-11-21,2,Different from product photos,Colour is much darker than shown in listing photos,Yes,0,0,0,1,Low
REV-081,2025-11-24,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0,1,1,1,High
REV-002,2025-11-28,1,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",No,4,1,1,0,High
REV-071,2025-12-15,1,Motor failure or stopped working,Motor stopped working after 3 weeks of use,Yes,0,1,1,1,High
REV-001,2025-12-19,1,Motor failure or stopped working,Height memory buttons stopped working after first month,Yes,0,1,1,1,High
REV-012,2025-12-25,3,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,18,1,1,1,High
REV-095,2025-12-28,3,Assembly instructions unclear,"Diagrams are too small to see clearly, very confusing",Yes,14,0,0,1,Medium
REV-094,2025-12-30,2,Poor material quality,Frame paint started chipping after one month,Yes,0,0,0,1,Low
REV-023,2026-01-01,1,Motor failure or stopped working,Height memory buttons stopped working after first month,Yes,0,1,1,1,High
REV-066,2026-01-03,1,Motor failure or stopped working,Motor stopped working after 3 weeks of use,Yes,10,1,1,1,High
REV-008,2026-01-04,1,Wobbles or unstable at height,"Unstable at higher settings, whole desk sways",Yes,0,1,1,1,High
REV-080,2026-01-08,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,1,1,1,1,High
REV-104,2026-01-13,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0,1,1,1,High
REV-045,2026-01-15,1,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,4,1,1,1,High
REV-036,2026-01-21,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,0,1,1,1,High
REV-078,2026-01-21,2,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,No,0,1,1,0,High
REV-061,2026-01-27,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,2,1,1,1,High
REV-107,2026-02-09,2,Wobbles or unstable at height,Table top vibrates when typing at standing position,Yes,20,1,1,1,High
REV-091,2026-02-12,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,1,1,1,1,High
REV-027,2026-02-18,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,4,1,1,1,High
REV-100,2026-02-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",No,0,1,1,0,High
REV-103,2026-02-26,1,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,5,1,1,1,High
REV-028,2026-03-03,3,Assembly instructions unclear,"Instructions are a single poorly printed sheet, impossible to follow",Yes,0,0,0,1,Medium
REV-106,2026-03-14,2,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,23,1,1,1,High
REV-029,2026-03-21,1,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,0,1,1,1,High
REV-115,2026-03-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",Yes,27,1,1,1,High
REV-087,2026-04-04,3,Customer service issue,Contacted support 3 times with no response,Yes,1,0,0,1,Low
REV-031,2026-04-08,2,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,6,1,1,1,High
REV-077,2026-04-15,1,Damaged on arrival,Packaging was destroyed and desk surface was damaged,Yes,0,0,0,1,Medium
REV-009,2026-04-20,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,4,1,1,1,High
REV-085,2026-04-21,1,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,74,1,1,1,High
